                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.3193,                  1.075,                 1.6933,                0.85501,                0.68317,                0.74116,                0.37831,                 1.2018,                0.93267,                 1.6142,             0.00056131,             0.00056131,             0.00056131
                     94,                  1.346,                 1.0101,                 1.5822,                0.85112,                0.68396,                0.74187,                0.39207,                 1.2101,                0.93309,                 1.6256,             0.00055188,             0.00055188,             0.00055188
                     95,                 1.2953,                  1.005,                 1.5863,                0.83487,                0.69911,                0.74077,                0.40267,                 1.1877,                 0.9186,                 1.5891,             0.00054245,             0.00054245,             0.00054245
                     96,                 1.2952,                0.97998,                 1.6747,                  0.828,                0.70177,                0.72757,                0.38382,                 1.1902,                0.90504,                 1.5615,             0.00053302,             0.00053302,             0.00053302
                     97,                 1.3651,                 1.2329,                 1.7032,                0.82974,                  0.721,                 0.7313,                0.39541,                 1.2174,                0.87854,                 1.5612,             0.00052359,             0.00052359,             0.00052359
                     98,                 1.5581,                 1.0988,                 1.5553,                0.82575,                0.73237,                0.74734,                0.41657,                 1.1859,                0.85279,                 1.5435,             0.00051415,             0.00051415,             0.00051415
                     99,                 1.2827,                 1.0011,                 1.4268,                 0.8093,                0.72409,                0.75583,                 0.4474,                  1.164,                0.85537,                 1.5489,             0.00050472,             0.00050472,             0.00050472
                    100,                 1.2365,                 1.0004,                 1.6423,                0.78381,                0.72183,                0.75306,                0.44005,                 1.1764,                 0.8631,                 1.5754,             0.00049529,             0.00049529,             0.00049529
                    101,                 1.2575,                0.90054,                 1.6926,                 0.8049,                0.73218,                0.75523,                0.44833,                 1.1482,                0.84314,                 1.5428,             0.00048586,             0.00048586,             0.00048586
                    102,                 1.2814,                0.95503,                 1.5036,                 0.7999,                0.73737,                0.75038,                0.45033,                 1.1395,                 0.8475,                 1.5263,             0.00047643,             0.00047643,             0.00047643
                    103,                 1.2687,                0.92958,                 1.4935,                0.78456,                0.72704,                0.73971,                0.45017,                 1.1317,                0.84668,                 1.5264,               0.000467,               0.000467,               0.000467
                    104,                 1.2521,                0.89497,                 1.4616,                0.81996,                0.70215,                 0.7419,                0.44416,                 1.1403,                0.84123,                 1.5564,             0.00045757,             0.00045757,             0.00045757
                    105,                 1.1725,                0.91047,                 1.6434,                0.83458,                0.72365,                0.74453,                0.43202,                 1.1438,                0.82338,                 1.5617,             0.00044813,             0.00044813,             0.00044813
                    106,                 1.3357,                0.94616,                 1.5376,                  0.848,                0.72181,                0.75372,                0.43064,                 1.1247,                0.79435,                 1.5337,              0.0004387,              0.0004387,              0.0004387
                    107,                 1.3263,                 1.0441,                 1.7028,                0.86774,                 0.7408,                0.76036,                0.44138,                 1.1116,                0.77995,                 1.5136,             0.00042927,             0.00042927,             0.00042927
                    108,                 1.3078,                 1.0798,                 1.4791,                0.86276,                0.73407,                0.76214,                0.44683,                 1.1056,                0.78993,                 1.5143,             0.00041984,             0.00041984,             0.00041984
                    109,                 1.2591,                0.87862,                  1.495,                0.85619,                0.72022,                0.75633,                0.45197,                 1.1027,                0.79473,                 1.5167,             0.00041041,             0.00041041,             0.00041041
                    110,                 1.2831,                0.99261,                 1.5913,                0.84142,                0.72366,                0.74535,                0.44588,                 1.1015,                0.80093,                 1.5315,             0.00040098,             0.00040098,             0.00040098
                    111,                  1.211,                0.92096,                 1.4506,                0.84284,                0.72772,                0.75117,                0.45039,                 1.1322,                0.81209,                 1.5794,             0.00039155,             0.00039155,             0.00039155
                    112,                 1.2579,                0.96563,                 1.5433,                 0.8564,                0.72535,                0.75553,                0.45875,                 1.1388,                0.82356,                 1.5916,             0.00038211,             0.00038211,             0.00038211
                    113,                 1.2076,                 1.0141,                 1.4797,                0.86918,                0.72517,                0.75657,                0.47141,                 1.1124,                0.82659,                 1.5586,             0.00037268,             0.00037268,             0.00037268
                    114,                 1.3646,                0.97575,                 1.4685,                0.86447,                0.70344,                0.75155,                0.46643,                 1.1203,                0.83584,                 1.5677,             0.00036325,             0.00036325,             0.00036325
                    115,                 1.2071,                0.98185,                  1.525,                0.87377,                0.70162,                0.75395,                0.47187,                 1.1078,                0.81335,                 1.5549,             0.00035382,             0.00035382,             0.00035382
                    116,                 1.4348,                 1.0279,                 1.5501,                0.89101,                0.72188,                 0.7615,                0.48681,                 1.0879,                0.78847,                 1.5346,             0.00034439,             0.00034439,             0.00034439
                    117,                 1.2091,                 1.0085,                 1.5901,                0.91569,                0.71593,                0.77168,                0.49368,                 1.0811,                0.77034,                 1.5284,             0.00033496,             0.00033496,             0.00033496
                    118,                 1.2196,                0.84817,                 1.4993,                 0.9231,                0.72619,                0.77759,                0.48174,                 1.0703,                 0.7552,                  1.518,             0.00032553,             0.00032553,             0.00032553
